transaction_id,date_time,user_id,account_num,type,status,merchant,description,amount,tax_amount,category,category_code,device_used,previous_balance,new_balance
ea166db8-5fed-4644-bed2-2605674bbf7c,2023-07-19 13:58:30,3979,0001-4390-5068-4267,Credit Card,Cleared,McDonald's,Dining purchase at McDonald's,318.67,31.87,Dining,103,Desktop,1000,649.4599999999999
352c7e93-545e-4ace-896c-a10f89e07f22,2023-07-03 13:58:30,1199,7023-1283-1642-6182,Credit Card,Cleared,Starbucks,Dining purchase at Starbucks,187.0,18.7,Dining,103,In-Store Terminal,1000,794.3
4f21d36d-d487-4edb-92ed-1a959e31fb14,2023-03-24 13:58:30,9143,2211-1136-1477-1495,Credit Card,Cleared,Spotify,Entertainment purchase at Spotify,117.32,11.73,Entertainment,105,Mobile,1000,870.95
833a1fa0-f48f-4284-839a-61b99a3f1e50,2023-03-03 13:58:30,8786,6860-7490-2829-1574,Credit Card,Cleared,Trader Joe's,Dining purchase at Trader Joe's,90.06,9.01,Dining,103,Mobile,1000,900.9300000000001
808a3d0a-df78-4984-9ff4-d1e643bbc240,2022-12-27 13:58:30,1697,1692-6419-0049-8462,Credit Card,Cleared,Newegg,Groceries purchase at Newegg,187.19,18.72,Groceries,101,Desktop,1000,794.0899999999999
0dad8331-a09c-4f6b-b86a-8151afdefb43,2023-03-17 13:58:30,3528,3388-8652-6846-5339,Credit Card,Cleared,Starbucks,Utilities purchase at Starbucks,399.49,39.95,Utilities,104,Mobile,1000,560.56
dfec5ed2-f4fc-4bd5-bc54-970436d99c59,2023-02-28 13:58:30,7838,9106-0106-9315-1850,Credit Card,Cleared,Walmart,Electronics purchase at Walmart,416.18,41.62,Electronics,102,In-Store Terminal,1000,542.1999999999999
315a0602-f5ba-46d5-a0a6-fa24c1adc30f,2022-06-10 13:58:30,9437,6670-8001-3001-7079,Credit Card,Cleared,AMC,Dining purchase at AMC,225.73,22.57,Dining,103,Mobile,1000,751.6999999999999
3739d0c5-2cc1-416e-9109-0149d3c84129,2023-07-19 13:58:30,4104,3286-6377-5408-5165,Credit Card,Cleared,Best Buy,Electronics purchase at Best Buy,234.11,23.41,Electronics,102,In-Store Terminal,1000,742.48
902635cd-4c89-49bc-8c22-8b30507bf1d2,2022-12-05 13:58:30,9103,4725-9160-9831-2415,Credit Card,Cleared,Energy Power,Utilities purchase at Energy Power,74.45,7.45,Utilities,104,In-Store Terminal,1000,918.0999999999999
